loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9904,1.0000000000000001e-07,0.01,1,,,,,,,,,,,,,
1.0403,2.0000000000000002e-07,0.02,2,,,,,,,,,,,,,
1.0494,3.0000000000000004e-07,0.03,3,,,,,,,,,,,,,
1.0112,4.0000000000000003e-07,0.03,4,,,,,,,,,,,,,
1.0178,5.000000000000001e-07,0.04,5,,,,,,,,,,,,,
0.9823,6.000000000000001e-07,0.05,6,,,,,,,,,,,,,
0.9771,7.000000000000001e-07,0.06,7,,,,,,,,,,,,,
0.9933,8.000000000000001e-07,0.07,8,,,,,,,,,,,,,
0.999,9e-07,0.08,9,,,,,,,,,,,,,
0.9676,1.0000000000000002e-06,0.08,10,,,,,,,,,,,,,
0.9789,1.1e-06,0.09,11,,,,,,,,,,,,,
0.8985,1.2000000000000002e-06,0.1,12,,,,,,,,,,,,,
0.9164,1.3e-06,0.11,13,,,,,,,,,,,,,
0.8686,1.4000000000000001e-06,0.12,14,,,,,,,,,,,,,
0.8747,1.5e-06,0.13,15,,,,,,,,,,,,,
0.874,1.6000000000000001e-06,0.13,16,,,,,,,,,,,,,
0.8286,1.7000000000000002e-06,0.14,17,,,,,,,,,,,,,
0.8088,1.8e-06,0.15,18,,,,,,,,,,,,,
0.7707,1.9e-06,0.16,19,,,,,,,,,,,,,
0.7672,2.0000000000000003e-06,0.17,20,,,,,,,,,,,,,
0.7174,2.1000000000000002e-06,0.18,21,,,,,,,,,,,,,
0.6828,2.2e-06,0.18,22,,,,,,,,,,,,,
0.6434,2.3e-06,0.19,23,,,,,,,,,,,,,
0.5925,2.4000000000000003e-06,0.2,24,,,,,,,,,,,,,
0.6151,2.5e-06,0.21,25,,,,,,,,,,,,,
0.5604,2.6e-06,0.22,26,,,,,,,,,,,,,
0.5362,2.7e-06,0.23,27,,,,,,,,,,,,,
0.5111,2.8000000000000003e-06,0.24,28,,,,,,,,,,,,,
0.493,2.9e-06,0.24,29,,,,,,,,,,,,,
0.4716,3e-06,0.25,30,,,,,,,,,,,,,
0.4697,3.1e-06,0.26,31,,,,,,,,,,,,,
0.469,3.2000000000000003e-06,0.27,32,,,,,,,,,,,,,
0.4177,3.3e-06,0.28,33,,,,,,,,,,,,,
0.4052,3.4000000000000005e-06,0.29,34,,,,,,,,,,,,,
0.3694,3.5000000000000004e-06,0.29,35,,,,,,,,,,,,,
0.3753,3.6e-06,0.3,36,,,,,,,,,,,,,
0.3276,3.7e-06,0.31,37,,,,,,,,,,,,,
0.3589,3.8e-06,0.32,38,,,,,,,,,,,,,
0.3142,3.9e-06,0.33,39,,,,,,,,,,,,,
0.2911,4.000000000000001e-06,0.34,40,,,,,,,,,,,,,
0.2957,4.1000000000000006e-06,0.34,41,,,,,,,,,,,,,
0.3008,4.2000000000000004e-06,0.35,42,,,,,,,,,,,,,
0.2787,4.2999999999999995e-06,0.36,43,,,,,,,,,,,,,
0.3162,4.4e-06,0.37,44,,,,,,,,,,,,,
0.2967,4.5e-06,0.38,45,,,,,,,,,,,,,
0.2883,4.6e-06,0.39,46,,,,,,,,,,,,,
0.2963,4.7e-06,0.39,47,,,,,,,,,,,,,
0.2817,4.800000000000001e-06,0.4,48,,,,,,,,,,,,,
0.2646,4.9000000000000005e-06,0.41,49,,,,,,,,,,,,,
0.2582,5e-06,0.42,50,,,,,,,,,,,,,
