loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9337,1.0000000000000001e-07,0.01,1,,,,,,,,,,,,,
0.9643,2.0000000000000002e-07,0.02,2,,,,,,,,,,,,,
0.9194,3.0000000000000004e-07,0.03,3,,,,,,,,,,,,,
0.9141,4.0000000000000003e-07,0.03,4,,,,,,,,,,,,,
0.9274,5.000000000000001e-07,0.04,5,,,,,,,,,,,,,
0.9613,6.000000000000001e-07,0.05,6,,,,,,,,,,,,,
0.9178,7.000000000000001e-07,0.06,7,,,,,,,,,,,,,
0.9231,8.000000000000001e-07,0.07,8,,,,,,,,,,,,,
0.9165,9e-07,0.08,9,,,,,,,,,,,,,
0.9197,1.0000000000000002e-06,0.08,10,,,,,,,,,,,,,
0.8898,1.1e-06,0.09,11,,,,,,,,,,,,,
0.8645,1.2000000000000002e-06,0.1,12,,,,,,,,,,,,,
0.8531,1.3e-06,0.11,13,,,,,,,,,,,,,
0.8062,1.4000000000000001e-06,0.12,14,,,,,,,,,,,,,
0.8215,1.5e-06,0.13,15,,,,,,,,,,,,,
0.7894,1.6000000000000001e-06,0.13,16,,,,,,,,,,,,,
0.8014,1.7000000000000002e-06,0.14,17,,,,,,,,,,,,,
0.7249,1.8e-06,0.15,18,,,,,,,,,,,,,
0.7356,1.9e-06,0.16,19,,,,,,,,,,,,,
0.7539,2.0000000000000003e-06,0.17,20,,,,,,,,,,,,,
0.7341,2.1000000000000002e-06,0.18,21,,,,,,,,,,,,,
0.6892,2.2e-06,0.18,22,,,,,,,,,,,,,
0.6643,2.3e-06,0.19,23,,,,,,,,,,,,,
0.6638,2.4000000000000003e-06,0.2,24,,,,,,,,,,,,,
0.6757,2.5e-06,0.21,25,,,,,,,,,,,,,
0.6706,2.6e-06,0.22,26,,,,,,,,,,,,,
0.5711,2.7e-06,0.23,27,,,,,,,,,,,,,
0.5302,2.8000000000000003e-06,0.24,28,,,,,,,,,,,,,
0.5613,2.9e-06,0.24,29,,,,,,,,,,,,,
0.5351,3e-06,0.25,30,,,,,,,,,,,,,
0.5079,3.1e-06,0.26,31,,,,,,,,,,,,,
0.488,3.2000000000000003e-06,0.27,32,,,,,,,,,,,,,
0.4692,3.3e-06,0.28,33,,,,,,,,,,,,,
0.4825,3.4000000000000005e-06,0.29,34,,,,,,,,,,,,,
0.4183,3.5000000000000004e-06,0.29,35,,,,,,,,,,,,,
0.4524,3.6e-06,0.3,36,,,,,,,,,,,,,
0.4662,3.7e-06,0.31,37,,,,,,,,,,,,,
0.4277,3.8e-06,0.32,38,,,,,,,,,,,,,
0.46,3.9e-06,0.33,39,,,,,,,,,,,,,
0.4645,4.000000000000001e-06,0.34,40,,,,,,,,,,,,,
0.4159,4.1000000000000006e-06,0.34,41,,,,,,,,,,,,,
0.4345,4.2000000000000004e-06,0.35,42,,,,,,,,,,,,,
0.4209,4.2999999999999995e-06,0.36,43,,,,,,,,,,,,,
0.3888,4.4e-06,0.37,44,,,,,,,,,,,,,
0.3853,4.5e-06,0.38,45,,,,,,,,,,,,,
0.425,4.6e-06,0.39,46,,,,,,,,,,,,,
0.4894,4.7e-06,0.39,47,,,,,,,,,,,,,
0.4117,4.800000000000001e-06,0.4,48,,,,,,,,,,,,,
0.4038,4.9000000000000005e-06,0.41,49,,,,,,,,,,,,,
0.3902,5e-06,0.42,50,,,,,,,,,,,,,
0.388,5.1e-06,0.43,51,,,,,,,,,,,,,
0.3666,5.2e-06,0.44,52,,,,,,,,,,,,,
0.3729,5.3e-06,0.45,53,,,,,,,,,,,,,
0.342,5.4e-06,0.45,54,,,,,,,,,,,,,
0.3613,5.500000000000001e-06,0.46,55,,,,,,,,,,,,,
0.3584,5.600000000000001e-06,0.47,56,,,,,,,,,,,,,
0.3559,5.7000000000000005e-06,0.48,57,,,,,,,,,,,,,
0.3992,5.8e-06,0.49,58,,,,,,,,,,,,,
0.3838,5.9e-06,0.5,59,,,,,,,,,,,,,
0.3573,6e-06,0.5,60,,,,,,,,,,,,,
0.3754,6.1e-06,0.51,61,,,,,,,,,,,,,
0.3879,6.2e-06,0.52,62,,,,,,,,,,,,,
0.3366,6.300000000000001e-06,0.53,63,,,,,,,,,,,,,
0.3316,6.4000000000000006e-06,0.54,64,,,,,,,,,,,,,
0.3772,6.5000000000000004e-06,0.55,65,,,,,,,,,,,,,
0.357,6.6e-06,0.55,66,,,,,,,,,,,,,
0.3729,6.700000000000001e-06,0.56,67,,,,,,,,,,,,,
0.3509,6.800000000000001e-06,0.57,68,,,,,,,,,,,,,
0.3767,6.900000000000001e-06,0.58,69,,,,,,,,,,,,,
0.3146,7.000000000000001e-06,0.59,70,,,,,,,,,,,,,
0.358,7.1e-06,0.6,71,,,,,,,,,,,,,
0.3261,7.2e-06,0.61,72,,,,,,,,,,,,,
0.346,7.2999999999999996e-06,0.61,73,,,,,,,,,,,,,
0.323,7.4e-06,0.62,74,,,,,,,,,,,,,
0.3249,7.5e-06,0.63,75,,,,,,,,,,,,,
0.3445,7.6e-06,0.64,76,,,,,,,,,,,,,
0.3449,7.7e-06,0.65,77,,,,,,,,,,,,,
0.3455,7.8e-06,0.66,78,,,,,,,,,,,,,
0.3032,7.9e-06,0.66,79,,,,,,,,,,,,,
0.2937,8.000000000000001e-06,0.67,80,,,,,,,,,,,,,
0.2959,8.1e-06,0.68,81,,,,,,,,,,,,,
0.3025,8.200000000000001e-06,0.69,82,,,,,,,,,,,,,
0.3014,8.3e-06,0.7,83,,,,,,,,,,,,,
0.3554,8.400000000000001e-06,0.71,84,,,,,,,,,,,,,
0.3124,8.500000000000002e-06,0.71,85,,,,,,,,,,,,,
0.3266,8.599999999999999e-06,0.72,86,,,,,,,,,,,,,
0.2915,8.7e-06,0.73,87,,,,,,,,,,,,,
0.2987,8.8e-06,0.74,88,,,,,,,,,,,,,
0.3346,8.9e-06,0.75,89,,,,,,,,,,,,,
0.3168,9e-06,0.76,90,,,,,,,,,,,,,
0.311,9.100000000000001e-06,0.76,91,,,,,,,,,,,,,
0.3215,9.2e-06,0.77,92,,,,,,,,,,,,,
0.3022,9.3e-06,0.78,93,,,,,,,,,,,,,
0.2867,9.4e-06,0.79,94,,,,,,,,,,,,,
0.2727,9.5e-06,0.8,95,,,,,,,,,,,,,
0.2411,9.600000000000001e-06,0.81,96,,,,,,,,,,,,,
0.277,9.7e-06,0.82,97,,,,,,,,,,,,,
0.2679,9.800000000000001e-06,0.82,98,,,,,,,,,,,,,
0.2656,9.900000000000002e-06,0.83,99,,,,,,,,,,,,,
0.2293,1e-05,0.84,100,,,,,,,,,,,,,
0.246,1.0100000000000002e-05,0.85,101,,,,,,,,,,,,,
0.238,1.02e-05,0.86,102,,,,,,,,,,,,,
0.276,1.03e-05,0.87,103,,,,,,,,,,,,,
0.2647,1.04e-05,0.87,104,,,,,,,,,,,,,
0.2504,1.05e-05,0.88,105,,,,,,,,,,,,,
0.2601,1.06e-05,0.89,106,,,,,,,,,,,,,
0.2907,1.0700000000000001e-05,0.9,107,,,,,,,,,,,,,
0.2578,1.08e-05,0.91,108,,,,,,,,,,,,,
0.2243,1.09e-05,0.92,109,,,,,,,,,,,,,
0.2739,1.1000000000000001e-05,0.92,110,,,,,,,,,,,,,
0.2678,1.11e-05,0.93,111,,,,,,,,,,,,,
0.2282,1.1200000000000001e-05,0.94,112,,,,,,,,,,,,,
0.2231,1.13e-05,0.95,113,,,,,,,,,,,,,
0.2486,1.1400000000000001e-05,0.96,114,,,,,,,,,,,,,
0.2522,1.1500000000000002e-05,0.97,115,,,,,,,,,,,,,
0.2113,1.16e-05,0.97,116,,,,,,,,,,,,,
0.281,1.1700000000000001e-05,0.98,117,,,,,,,,,,,,,
0.1937,1.18e-05,0.99,118,,,,,,,,,,,,,
0.2192,1.19e-05,1.0,119,,,,,,,,,,,,,
,,1.0,119,0.20769652724266052,0.6761133603238867,0.3947990543735225,0.4985074626865672,0.9523295279234804,1.2451,339.725,21.685,,,,,
0.1875,1.2e-05,1.01,120,,,,,,,,,,,,,
0.2425,1.2100000000000001e-05,1.02,121,,,,,,,,,,,,,
0.2166,1.22e-05,1.03,122,,,,,,,,,,,,,
0.2426,1.23e-05,1.03,123,,,,,,,,,,,,,
0.1513,1.24e-05,1.04,124,,,,,,,,,,,,,
0.1796,1.25e-05,1.05,125,,,,,,,,,,,,,
0.236,1.2600000000000001e-05,1.06,126,,,,,,,,,,,,,
0.2244,1.27e-05,1.07,127,,,,,,,,,,,,,
0.1858,1.2800000000000001e-05,1.08,128,,,,,,,,,,,,,
0.201,1.29e-05,1.08,129,,,,,,,,,,,,,
0.2377,1.3000000000000001e-05,1.09,130,,,,,,,,,,,,,
0.1946,1.3100000000000002e-05,1.1,131,,,,,,,,,,,,,
0.2226,1.32e-05,1.11,132,,,,,,,,,,,,,
0.1683,1.3300000000000001e-05,1.12,133,,,,,,,,,,,,,
0.1786,1.3400000000000002e-05,1.13,134,,,,,,,,,,,,,
0.1755,1.3500000000000001e-05,1.13,135,,,,,,,,,,,,,
0.1835,1.3600000000000002e-05,1.14,136,,,,,,,,,,,,,
0.1689,1.3700000000000001e-05,1.15,137,,,,,,,,,,,,,
0.1615,1.3800000000000002e-05,1.16,138,,,,,,,,,,,,,
0.1456,1.3900000000000002e-05,1.17,139,,,,,,,,,,,,,
0.1848,1.4000000000000001e-05,1.18,140,,,,,,,,,,,,,
0.2303,1.4099999999999999e-05,1.18,141,,,,,,,,,,,,,
0.1538,1.42e-05,1.19,142,,,,,,,,,,,,,
0.2074,1.43e-05,1.2,143,,,,,,,,,,,,,
0.1704,1.44e-05,1.21,144,,,,,,,,,,,,,
0.148,1.45e-05,1.22,145,,,,,,,,,,,,,
0.2292,1.4599999999999999e-05,1.23,146,,,,,,,,,,,,,
0.1845,1.47e-05,1.24,147,,,,,,,,,,,,,
0.1366,1.48e-05,1.24,148,,,,,,,,,,,,,
0.1588,1.49e-05,1.25,149,,,,,,,,,,,,,
